className,name,ISO,landArea,arableLandArea,GDP,GDPRate,energyOutput,carbonOutput,carbonOutput1990
NonAnnexOne,Comoros,COM,1862,778,220721098,0.008,84815,73000,77000
NonAnnexOne,Congo-Brazzaville,COG,341500,4952,1862525120,0.0331,6960898,777000,1188000
NonAnnexOne,Congo-Kinshasa,COD,2267048,64853,6159656672,-0.0201,7228894,2534000,4070000
NonAnnexOne,Costa Rica,CRI,51060,2229,13288447404,0.0838,10996630,5317000,2956000
AnnexOneReduce,Croatia,HRV,55974,14566,21072021153,0.0278,23604756,20418000,16443000
NonAnnexOne,Cuba,CUB,109820,30631,21184400000,-0.0101,43901236,24444000,33340000
NonAnnexOne,Cyprus,CYP,9241,999,8806286089,0.0498,6671085,6641000,4653000
AnnexOneSustain,Czech Republic,CZE,77247,29999,56157542840,-0.0083,136930966,125525000,139504000
AnnexOneReduce,Denmark,DNK,42434,22295,1.48E+11,0.0181,62585625,56068000,50421000
NonAnnexOne,Djibouti,DJI,23180,9,440372269,0.0164,476825,411000,400000
NonAnnexOne,Dominica,DMA,751,50,286018367,0.0406,84442,77000,59000
NonAnnexOne,Dominican Republic,DOM,48320,10881,19060069618,0.0589,24958257,18683000,9571000
NonAnnexOne,Ecuador,ECU,276841,15808,21628064000,0.013,28106916,22229000,16835000
NonAnnexOne,Egypt,EGY,995450,29067,83112092779,0.0256,130053792,122243000,75944000
NonAnnexOne,El Salvador,SLV,20721,6500,11672600000,0.0381,18488238,5812000,2618000
NonAnnexOne,Equatorial Guinea,GNQ,28051,1299,421420756,0.1868,190056,169000,121000
AnnexOneSustain,Estonia,EST,42388,5207,4976131209,0.0623,18812170,17143000,23029000
NonAnnexOne,Ethiopia,ETH,1000000,112080,7365633704,-0.0454,91784646,5027000,3018000
NonAnnexOne,Fiji,FJI,18274,2001,1482000964,0.0172,855938,730000,818000
AnnexOneReduce,Finland,FIN,303815,19913,1.12E+11,0.0462,102738090,56989000,50942000
AnnexOneReduce,France,FRA,640427,182711,1.31E+12,0.0297,703718793,409094000,399028000
NonAnnexOne,Gabon,GAB,257667,3118,4305619640,0.0136,5098255,1632000,4844000
NonAnnexOne,Gambia,GMB,10000,2788,867566985,0.0338,271813,235000,191000
NonAnnexOne,Georgia,GEO,69700,8022,3471318999,0.0421,5583545,4961000,15335000
AnnexOneReduce,Germany,DEU,348672,115698,1.98E+12,0.0206,1031203645,895533000,928327000
NonAnnexOne,Ghana,GHA,227533,40507,11123643892,0.0508,35150317,6410000,3931000
AnnexOneReduce,Greece,GRC,130647,26749,1.23E+11,0.0381,92858358,87810000,72724000
NonAnnexOne,Grenada,GRD,344,20,321488889,0.1198,218790,191000,121000
NonAnnexOne,Guatemala,GTM,107159,14334,17289952490,0.0509,31200999,8753000,5086000
NonAnnexOne,Guinea,GIN,245717,10990,3548440585,0.0462,1310823,1243000,1056000
NonAnnexOne,Guinea-Bissau,GNB,28120,2327,348843065,-0.27,227798,216000,253000
NonAnnexOne,Guyana,GUY,196849,4390,1054664618,-0.0171,1912752,1654000,1140000
NonAnnexOne,Haiti,HTI,27560,7747,3352660263,0.0283,6242962,1232000,994000
NonAnnexOne,Honduras,HND,111890,10663,5759267721,0.0309,15491483,4650000,2593000
AnnexOneReduce,Hungary,HUN,89608,45782,42041981950,0.0491,74645363,60854000,62992000
AnnexOneReduce,Iceland,ISL,100250,70,6978804827,0.0692,6374764,2101000,2072000
NonAnnexOne,India,IND,2973193,1451809,4E+11,0.0658,1935771324,1071912000,690577000
NonAnnexOne,Indonesia,IDN,1811569,201456,1.05E+11,-0.132,384452098,210211000,149566000
NonAnnexOne,Iran,IRN,1531595,160001,1.03E+11,0.0285,319665750,316176000,227185000
NonAnnexOne,Iraq,IRQ,437367,56700,10619633395,0.4319,73372841,72372000,52555000
AnnexOneReduce,Ireland,IRL,68883,11587,80430419314,0.0749,45070638,38140000,30418000
NonAnnexOne,Israel,ISR,20330,3141,98374111037,0.0631,64592480,62779000,33535000
AnnexOneReduce,Italy,ITA,294140,77651,1.09E+12,0.0122,472774575,441752000,424184000
NonAnnexOne,Ivory Coast,CIV,318003,32531,11807744803,0.0571,29651174,6912000,5798000
NonAnnexOne,Jamaica,JAM,10831,1715,8134640219,-0.0127,11774506,9729000,7965000
AnnexOneReduce,Japan,JPN,364485,43620,4.01E+12,-0.017,1371922914,1159186000,1094706000
NonAnnexOne,Jordan,JOR,88802,3053,6809093687,0.0362,14821315,14543000,10403000
NonAnnexOne,Kazakhstan,KAZ,2699700,221059,20943718871,-0.0169,129034772,125063000,261307000
NonAnnexOne,Kenya,KEN,569140,45597,12627598014,0.0371,57455364,10037000,5823000
NonAnnexOne,Kiribati,KIR,811,22,63334088,0.1269,38050,33000,22000
NonAnnexOne,Kuwait,KWT,17818,150,26933053643,0.0296,54882123,51089000,45423000
NonAnnexOne,Kyrgyzstan,KGZ,191801,12530,1509043762,0.0108,6947811,5823000,10862000
NonAnnexOne,Laos,LAO,230800,9255,1051099560,0.0522,895579,895000,235000
AnnexOneSustain,Latvia,LVA,62249,17926,5901334632,0.0496,8543268,7990000,14052000
NonAnnexOne,Lebanon,LBN,10230,1673,16909481257,0.0423,17718602,16179000,9098000
NonAnnexOne,Liberia,LBR,96320,3304,386200000,0.3018,475736,389000,484000
NonAnnexOne,Libya,LBY,1759540,18123,33381719193,0.0014,52012074,48133000,40319000
AnnexOneSustain,Lithuania,LTU,62680,29216,9865322750,0.0768,18459543,16197000,22152000
AnnexOneSustain,Luxembourg,LUX,2586,619,17374068062,0.0611,7438082,7356000,9894000
NonAnnexOne,Macedonia,MKD,25433,5471,3181511574,0.0358,16651460,12625000,10777000
NonAnnexOne,Madagascar,MDG,581540,29251,3481036735,0.0401,1947538,1738000,986000
NonAnnexOne,Malawi,MWI,94080,19456,2438699777,0.0196,845882,829000,612000
NonAnnexOne,Malaysia,MYS,329613,17939,78648278313,-0.0554,131991244,114187000,56593000
NonAnnexOne,Maldives,MDV,298,40,509236177,0.0977,357867,334000,154000
NonAnnexOne,Mali,MLI,1220190,45872,2688320677,0.079,582174,517000,422000
NonAnnexOne,Malta,MLT,316,99,3439620560,0.063,2423728,2145000,2178000
NonAnnexOne,Marshall Islands,MHL,181,20,101438240,-0.0293,77762,70000,48000
NonAnnexOne,Mauritania,MRT,1030700,2061,1362933780,0.0235,1111000,1111000,2666000
NonAnnexOne,Mauritius,MUS,2030,995,3686059996,0.0655,2405994,2197000,1463000
